Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCC_EA_WRREQ_64B_sum,TCC_EA_WRREQ_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum
0,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,0,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1049680.0000000000,1049680.0000000000,1048576.0000000000,1048576.0000000000,1048618.0000000000,0.0000000000
1,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,1,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1012223.0000000000,1012223.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
2,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,2,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1049928.0000000000,1049928.0000000000,1048576.0000000000,1048576.0000000000,1048641.0000000000,0.0000000000
3,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,3,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1049336.0000000000,1049336.0000000000,1048576.0000000000,1048576.0000000000,1048618.0000000000,0.0000000000
4,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,4,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1049835.0000000000,1049835.0000000000,1048576.0000000000,1048576.0000000000,1048589.0000000000,0.0000000000
5,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,5,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1049566.0000000000,1049566.0000000000,1048576.0000000000,1048576.0000000000,1048648.0000000000,0.0000000000
6,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,6,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1049869.0000000000,1049869.0000000000,1048576.0000000000,1048576.0000000000,1048585.0000000000,0.0000000000
7,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,7,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1049674.0000000000,1049674.0000000000,1048576.0000000000,1048576.0000000000,1048650.0000000000,0.0000000000
8,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,8,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1049588.0000000000,1049588.0000000000,1048576.0000000000,1048576.0000000000,1048585.0000000000,0.0000000000
9,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,9,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1050003.0000000000,1050003.0000000000,1048576.0000000000,1048576.0000000000,1048641.0000000000,0.0000000000
10,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,11,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1012248.0000000000,1012248.0000000000,1048576.0000000000,1048576.0000000000,1048612.0000000000,0.0000000000
11,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,12,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1049692.0000000000,1049692.0000000000,1048576.0000000000,1048576.0000000000,1048588.0000000000,0.0000000000
12,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,13,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1049985.0000000000,1049985.0000000000,1048576.0000000000,1048576.0000000000,1048610.0000000000,0.0000000000
13,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,14,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1049499.0000000000,1049499.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
14,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,15,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1049699.0000000000,1049699.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
15,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,16,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1049835.0000000000,1049835.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
16,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,17,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1049492.0000000000,1049492.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
17,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,18,98207,98207,16777216,256,1536,0,8,0,16,64,0x0,0x14aa50532740,1049471.0000000000,1049471.0000000000,1048576.0000000000,1048576.0000000000,1048577.0000000000,0.0000000000
